population_density,rucc,longitude,latitude,altitude,phone_abs_time,num_seen_cells,rsrp,rsrq,rssi,cell_tower_distance
1.0,7.0,-103.57544893502605,35.17273043069386,1202.8710839244463,1724263171306.0,7.0,-116,-15,-83,
1.0,7.0,-103.57544893502605,35.17273043069386,1202.8710839244463,1724263171306.0,7.0,-122,-16,-95,
1.0,7.0,-103.57544893502605,35.17273043069386,1202.8710839244463,1724263171306.0,7.0,-121,-18,-93,
1.0,7.0,-103.5750611668567,35.17274962744313,1202.9397884057687,1724263172305.0,6.0,-110,-13,-77,
1.0,7.0,-103.5750611668567,35.17274962744313,1202.9397884057687,1724263172305.0,6.0,-119,-13,-95,
1.0,7.0,-103.5750611668567,35.17274962744313,1202.9397884057687,1724263172305.0,6.0,-117,-14,-95,
1.0,7.0,-103.57467050533864,35.17276896742977,1203.009005528506,1724263173313.0,6.0,-110,-13,-77,
1.0,7.0,-103.57467050533864,35.17276896742977,1203.009005528506,1724263173313.0,6.0,-119,-13,-95,
1.0,7.0,-103.57467050533864,35.17276896742977,1203.009005528506,1724263173313.0,6.0,-117,-14,-95,
1.0,7.0,-103.57427873767244,35.17278836217709,1203.0784186377618,1724263174324.0,5.0,-106,-13,-73,
1.0,7.0,-103.57427873767244,35.17278836217709,1203.0784186377618,1724263174324.0,5.0,-118,-12,-95,
1.0,7.0,-103.57427873767244,35.17278836217709,1203.0784186377618,1724263174324.0,5.0,-112,-10,-93,
1.0,7.0,-103.57388985555802,35.17280761407303,1203.147320487056,1724263175326.0,5.0,-115,-12,-83,
1.0,7.0,-103.57388985555802,35.17280761407303,1203.147320487056,1724263175326.0,5.0,-101,-12,-81,
1.0,7.0,-103.57388985555802,35.17280761407303,1203.147320487056,1724263175326.0,5.0,-108,-11,-87,
1.0,7.0,-103.57350191164151,35.1728268195228,1203.2160561071291,1724263176325.0,5.0,-113,-13,-77,
1.0,7.0,-103.57350191164151,35.1728268195228,1203.2160561071291,1724263176325.0,5.0,-103,-15,-79,
1.0,7.0,-103.57350191164151,35.1728268195228,1203.2160561071291,1724263176325.0,5.0,-107,-14,-85,
1.0,7.0,-103.57311310961424,35.17284606745397,1203.2849437666468,1724263177329.0,5.0,-102,-14,-67,
1.0,7.0,-103.57311310961424,35.17284606745397,1203.2849437666468,1724263177329.0,5.0,-112,-13,-91,
1.0,7.0,-103.57311310961424,35.17284606745397,1203.2849437666468,1724263177329.0,5.0,-108,-11,-87,
1.0,7.0,-103.57272121706067,35.172865468383925,1203.354379003354,1724263178338.0,5.0,-101,-13,-67,
1.0,7.0,-103.57272121706067,35.172865468383925,1203.354379003354,1724263178338.0,5.0,-112,-14,-79,
1.0,7.0,-103.57272121706067,35.172865468383925,1203.354379003354,1724263178338.0,5.0,-104,-11,-71,
1.0,7.0,-103.57232536690964,35.17288580161848,1203.1787867809442,1724263179341.0,5.0,-101,-13,-67,
